Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Where Bluebirds Fly	Radiohead	Thom Yorke, Colin Greenwood, Ed O'Brien, Jonny Greenwood & Phil Selway	Com Lag: 2+2=5 - EP						Alternative	9835975	271	1	1	10	10	2004	2/18/19, 3:45 PM	2/18/19, 3:45 PM	256	44100		Apple Music AAC audio file			2	2/18/19, 8:03 PM	1	2/18/19, 3:38 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Compilations/Com Lag_ 2+2=5 - EP/10 Where Bluebirds Fly.m4p
Ships Without Meaning	Oneohtrix Point Never	Daniel Lopatin	Drawn and Quartered						Dance	19505129	577	1	1	2	7	2009	2/20/19, 5:09 PM	10/27/16, 7:29 PM	256	44100		Apple Music AAC audio file			4	2/18/19, 8:13 PM	1	2/18/19, 3:36 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Oneohtrix Point Never/Drawn and Quartered/02 Ships Without Meaning.m4p
Baltang Ort	Squarepusher		Damogen Furies						Electronic	12909831	374	1	1	2	8	2015	2/18/19, 3:45 PM	7/9/15, 10:29 PM	256	44100		Apple Music AAC audio file			2	2/18/19, 8:19 PM	1	7/12/15, 12:11 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Squarepusher/Damogen Furies/02 Baltang Ort.m4p
Sodium Trimmers	Clark		Clark						Electronic	8305228	219	1	1	5	13	2014	2/18/19, 3:45 PM	10/29/15, 8:56 PM	256	44100		Apple Music AAC audio file			4	2/18/19, 8:23 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Clark/Clark/05 Sodium Trimmers.m4p
Peregrine	Inventions		Maze of Woods						Alternative	12220206	360	1	1	3	11	2015	2/18/19, 3:45 PM	1/24/19, 8:09 PM	256	44100		Apple Music AAC audio file			2	2/18/19, 8:29 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Inventions/Maze of Woods/03 Peregrine.m4p
Farewell	Wander		Mourning						Rock	14949369	398	1	1	5	7	2016	2/18/19, 3:45 PM	1/31/19, 1:04 PM	256	44100		Apple Music AAC audio file			2	2/18/19, 8:36 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Wander/Mourning/05 Farewell.m4p
Undoing a Luciferian Towers	Godspeed You! Black Emperor	Thierry Amar, David Bryant, Aidan Girt, Timothy Herzog, Efrim Menuck, Michael Moya, Mauro Pezzente & Sophie Trudeau	Luciferian Towers						Alternative	16555931	467	1	1	1	7	2017	10/23/18, 10:21 AM	9/25/17, 9:51 AM	256	44100		Apple Music AAC audio file			5	2/18/19, 8:43 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Godspeed You! Black Emperor/Luciferian Towers/01 Undoing a Luciferian Towers.m4p
Freedom Blade	This Will Destroy You	Christopher Royal King & Jeremy Adam Galindo	Field Studies - EP						Alternative	9366938	241	1	1	2	5	2008	2/18/19, 3:45 PM	2/18/19, 3:45 PM	256	44100		Apple Music AAC audio file			2	2/18/19, 8:47 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/This Will Destroy You & Lymbyc Systym/Field Studies - EP/02 Freedom Blade.m4p
Shadow Journal	Max Richter, Tilda Swinton, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard & Chris Worsey	Max Richter	The Blue Notebooks						Classical	17248230	502	1	1	4	12	2004	2/20/19, 5:09 PM	11/10/18, 4:18 PM	256	44100		Apple Music AAC audio file			2	2/18/19, 8:56 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Max Richter/The Blue Notebooks/04 Shadow Journal.m4p
Nightmare 5	Eluvium		Similes						Electronic	7157589	209	1	1	5	8	2010	2/18/19, 3:45 PM	11/4/11, 3:37 PM	256	44100		Matched AAC audio file			5	2/18/19, 8:59 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Eluvium/Similes/05 Nightmare 5.m4a
