Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Arboretum	Max Richter, Tilda Swinton, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard & Chris Worsey	Max Richter	The Blue Notebooks						Classical	6343851	173	1	1	7	12	2014	4/18/19, 6:18 PM	11/10/18, 4:18 PM	256	44100		Apple Music AAC audio file			2	4/18/19, 6:20 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Max Richter/The Blue Notebooks/07 Arboretum.m4p
Shadow Journal	Max Richter, Tilda Swinton, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard & Chris Worsey	Max Richter	The Blue Notebooks						Classical	17248230	502	1	1	4	12	2014	4/18/19, 4:32 PM	8/29/18, 12:49 PM	256	44100		Apple Music AAC audio file			8	10/20/18, 9:01 AM	2	4/18/19, 6:19 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Max Richter/The Blue Notebooks/04 Shadow Journal 1.m4p
A Walking Embrace	Nils Frahm	Nils Frahm	Encores 2 - EP						Ambient	12127572	329	1	1	2	4	2019	4/18/19, 4:31 PM	1/26/19, 6:22 PM	256	44100		Apple Music AAC audio file			5	2/17/19, 5:39 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Nils Frahm/Encores 2 - EP/02 A Walking Embrace.m4p
The Clearing	Rachel Grimes		The Clearing						Alternative	17100134	482	1	1	2	12	2015	4/18/19, 4:32 PM	7/14/15, 9:04 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Rachel Grimes/The Clearing/02 The Clearing.m4p
Skating Through the Woods	Hauschka	Hauschka	A Different Forest						Classical	7873097	209	1	1	9	12	2019	4/18/19, 4:31 PM	2/9/19, 8:27 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Hauschka/A Different Forest/09 Skating Through the Woods.m4p
End I	Giancarlo Erra	Giancarlo Erra	Ends						Instrumental	11493090	325	1	1	3	8	2019	4/18/19, 6:18 PM	4/18/19, 4:31 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Giancarlo Erra/Ends/03 End I.m4p
Ends Coda	Giancarlo Erra	Giancarlo Erra	Ends						Instrumental	9565759	242	1	1	8	8	2019	4/18/19, 6:18 PM	4/18/19, 4:31 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Giancarlo Erra/Ends/08 Ends Coda.m4p
By This River	Alva Noto + Ryuichi Sakamoto	Ryuichi Sakamoto & Carsten Nicolai	Summvs						Electronic	8335419	248	1	1	7	10	2011	4/18/19, 6:18 PM	4/18/19, 6:18 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Alva Noto + Ryuichi Sakamoto/Summvs/07 By This River.m4p
Pantglas	Bibio		Phantom Brickworks						Electronic	9855150	271	1	1	3	9	2017	4/18/19, 4:32 PM	4/13/19, 12:23 PM	256	44100		Apple Music AAC audio file			2	4/16/19, 9:52 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Bibio/Phantom Brickworks/03 Pantglas.m4p
Ritual for Consumption	Tim Hecker & Daniel Lopatin	Tim Hecker & Daniel Lopatin	Instrumental Tourist						Electronic	10741590	284	1	1	11	12	2012	4/18/19, 4:31 PM	7/2/15, 12:17 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tim Hecker & Daniel Lopatin/Instrumental Tourist/11 Ritual for Consumption.m4p
Movements 4	Mika Vainio, Ryoji Ikeda & Alva Noto	Mika Vainio, Ryoji Ikeda & Carsten Nicolai	Live 2002						Electronic	17460886	456	1	1	4	11	2018	4/18/19, 4:32 PM	4/18/19, 11:05 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Mika Vainio, Ryoji Ikeda & Alva Noto/Live 2002/04 Movements 4.m4p
