Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Iambic 9 Poetry	Squarepusher		Ultravisitor						Electronic	14961915	415	1	1	3	15	2004	11/18/21, 3:39 PM	7/20/11, 3:47 PM	256	44100		Purchased AAC audio file			1	11/18/21, 4:40 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Squarepusher/Ultravisitor/03 Iambic 9 Poetry.m4a
The Roots of Coincidence	Pat Metheny Group	Lyle Mays & Pat Metheny	Imaginary Day						Jazz	16375815	468	1	1	7	9	1997	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Pat Metheny Group/Imaginary Day/07 The Roots of Coincidence.m4p
Splashdown (New Mix)	Miles Davis	Miles Davis	The Complete in a Silent Way Sessions						Jazz	18762077	482	1	3	6	6	1969	2/9/22, 12:42 PM	9/20/20, 6:23 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Compilations/The Complete in a Silent Way Sessions/1-06 Splashdown (New Mix).m4p
Santa Cruz Slacker	Pat Metheny & Brad Mehldau	Brad Mehldau	Quartet						Jazz	14478836	369	1	1	8	11	2007	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Brad Mehldau & Pat Metheny/Quartet/08 Santa Cruz Slacker.m4p
Autumn Leaves	Chet Baker	Joseph Kosma, J. Prevert & J. Mercer	Jazz Moods - Cool: Chet Baker						Jazz	14481436	422	1	1	3	7	1974	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Chet Baker/Jazz Moods - Cool_ Chet Baker/03 Autumn Leaves.m4p
My Foolish Heart	Bill Evans Trio	Ned Washington & Victor Young	Waltz for Debby (Original Jazz Classics Remasters)						Jazz	11936079	297	1	1	1	11	1962	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Bill Evans Trio/Waltz for Debby (Original Jazz Classics Remasters)/01 My Foolish Heart.m4p
Goodbye Pork Pie Hat	Charles Mingus	Charles Mingus	Mingus Ah Um						Jazz	12412638	342	1	2	2	13	1959	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file			1	3/18/21, 4:19 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Charles Mingus/Mingus Ah Um/1-02 Goodbye Pork Pie Hat.m4p
In a Sentimental Mood	Duke Ellington & John Coltrane	Duke Ellington	Duke Ellington & John Coltrane						Jazz	10267164	256	1	1	1	7	1963	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file			1	3/18/21, 4:07 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Duke Ellington & John Coltrane/Duke Ellington & John Coltrane/01 In a Sentimental Mood.m4p
Take the "A" Train	Duke Ellington	Billy Strayhorn	Piano In the Background						Jazz	11506175	331	1	1	9	14	1960	2/9/22, 12:43 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Duke Ellington/Piano In the Background/09 Take the _A_ Train.m4p
Blue In Green (Take 3)	Bill Evans, Scott LaFaro & Paul Motian	Bill Evans & Miles Davis	Keepnews Collection: Portrait In Jazz						Jazz	12399956	325	1	1	9	13	1960	2/9/22, 12:42 PM	1/2/22, 6:10 PM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Bill Evans, Scott LaFaro & Paul Motian/Keepnews Collection_ Portrait In Jazz/09 Blue In Green (Take 3).m4p
