Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Contemplation	Kasper Bjørke	Kasper Bjørke, Claus Norreen & Davide Rossi	Kasper Bjørke Quartet: The Fifty Eleven Project						Electronic	20812389	636	1	1	10	11	2018	1/21/19, 6:48 PM	11/2/18, 7:11 PM	256	44100		Apple Music AAC audio file			5	1/21/19, 8:08 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Kasper Bjørke/Kasper Bjørke Quartet_ The Fifty Eleven Project/10 Contemplation.m4p
The Quality of Mercy	Max Richter		The Leftovers (Music from the HBO Series) Season 2						Soundtrack	8199162	252	1	1	17	18	2016	1/21/19, 6:48 PM	10/11/18, 8:58 AM	256	44100		Apple Music AAC audio file			2	1/21/19, 8:12 PM	1	1/21/19, 6:46 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Max Richter/The Leftovers (Music from the HBO Series) Season 2/17 The Quality of Mercy.m4p
Sftlb2	Frakkur		2000 - 2004						Electronica	13075599	372	1	3	2	9	2018	1/21/19, 6:48 PM	11/26/18, 3:43 PM	256	44100		Apple Music AAC audio file			1	1/21/19, 8:19 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Frakkur/2000 - 2004/1-02 Sftlb2.m4p
Boxelder	High Plains		Pilot Hill							9770297	317			4		2018	8/29/18, 5:19 AM	8/29/18, 8:01 PM	242	44100		MPEG audio file		Visit http://highplains.bandcamp.com	3	1/21/19, 8:24 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/High Plains/Pilot Hill/04 Boxelder.mp3
Hammers	Nils Frahm		Spaces (Bonus Track Version)						Alternative	8076259	228	1	1	7	12	2013	1/21/19, 6:48 PM	11/29/15, 10:12 PM	256	44100		Apple Music AAC audio file			4	1/22/19, 7:35 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Nils Frahm/Spaces (Bonus Track Version)/07 Hammers.m4p
Threads	This Will Destroy You		S / T (10th Anniversary Edition)						Rock	12334142	341	1	1	3	8	2007	2/18/19, 10:45 AM	6/13/18, 9:37 AM	256	44100		Apple Music AAC audio file			4	1/22/19, 7:40 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/This Will Destroy You/S _ T (10th Anniversary Edition)/03 Threads.m4p
A Sodium Codec Haze	Tim Hecker	Tim Hecker	Konoyo						Ambient	12561336	346	1	1	6	7	2018	1/21/19, 6:48 PM	9/30/18, 8:20 AM	256	44100		Apple Music AAC audio file			3	1/21/19, 8:39 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tim Hecker/Konoyo/06 A Sodium Codec Haze.m4p
Asunder, Sweet	Godspeed You! Black Emperor	Thierry Amar, David Bryant, Bruce Cawdron, Aidan Girt, Efrim Menuck, Michael Moya, Mauro Pezzente & Sophie Trudeau	Asunder, Sweet and Other Distress						Alternative	13374064	373	1	1	3	4	2015	1/21/19, 6:48 PM	8/30/15, 7:23 PM	256	44100		Apple Music AAC audio file			1	1/21/19, 8:45 PM	1	2/10/16, 7:38 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Godspeed You! Black Emperor/Asunder, Sweet and Other Distress/03 Asunder, Sweet.m4p
Heysátan	Sigur Rós		Takk...						Alternative	9992286	249	1	1	11	11	2005	1/21/19, 6:48 PM	1/21/19, 6:48 PM	256	44100		Apple Music AAC audio file			2	1/21/19, 8:50 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Sigur Rós/Takk.._/11 Heysátan.m4p
Tzar	Mogwai		Atomic						Alternative	11201270	313	1	1	9	10	2016	1/21/19, 6:48 PM	4/5/16, 12:58 PM	256	44100		Apple Music AAC audio file			6	1/21/19, 8:55 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Mogwai/Atomic/09 Tzar.m4p
Stents	Tangents	Tangents	Stents + Arteries - Single						Jazz	11808294	337	1	1	1	2	2018	1/21/19, 6:48 PM	3/28/18, 9:43 AM	256	44100		Apple Music AAC audio file			4	1/21/19, 9:00 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tangents/Stents + Arteries - Single/01 Stents.m4p
After You Comes the Flood	MONO	MONO	Nowhere Now Here						Prog-Rock/Art Rock	12191377	336	1	1	2	10	2019	1/28/19, 6:47 PM	1/17/19, 11:35 AM	256	44100		Apple Music AAC audio file			4	1/28/19, 8:33 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/MONO/Nowhere Now Here/02 After You Comes the Flood.m4p
