Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The Cloud Room	Pan American		Cloud Room, Glass Room						Electronic	16792270	456	1	1	1	7	2013	4/25/19, 7:29 PM	7/7/15, 1:43 AM	256	44100		Apple Music AAC audio file			19	4/24/19, 9:27 PM	5	10/29/18, 8:24 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Pan American/Cloud Room, Glass Room/01 The Cloud Room.m4p
Collision of the Pacific Gather	Loscil		Sketches from New Brighton						Ambient	10516967	308	1	1	6	9	2012	4/25/19, 6:48 PM	9/15/12, 1:42 AM	256	44100		Purchased AAC audio file			13	3/5/19, 9:16 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Loscil/Sketches from New Brighton/06 Collision of the Pacific Gather.m4a
Kjurrt	Ólafur Arnalds	Ólafur Arnalds	...And They Have Escaped The Weight Of Darkness						Classical	10077692	284	1	1	5	9	2010	4/25/19, 6:47 PM	9/25/13, 3:36 PM	256	44100		Matched AAC audio file			4	4/25/19, 7:25 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Ólafur Arnalds/_..And They Have Escaped The Weight Of Darkness/05 Kjurrt.m4a
Backlight	Helios		Caesura						Electronic	10911727	290	1	1	5	10	2008	4/25/19, 7:29 PM	1/11/17, 9:33 PM	256	44100		Apple Music AAC audio file			2	4/25/19, 7:25 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Helios/Caesura/05 Backlight.m4p
Rushlight	High Plains		Cinderland						Ambient	6048800	172	1	1	8	9	2017	4/25/19, 7:29 PM	3/10/17, 6:01 PM	256	44100		Apple Music AAC audio file			9	4/25/19, 7:29 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/High Plains/Cinderland/08 Rushlight.m4p
Split Your Infinities	Boards of Canada		Tomorrow's Harvest						Electronic	9376801	268	1	1	11	17	2013	4/25/19, 7:29 PM	9/19/16, 6:19 PM	256	44100		Apple Music AAC audio file			4	4/25/19, 7:29 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Boards of Canada/Tomorrow's Harvest/11 Split Your Infinities.m4p
Your Refusal	L'Ombre		Letting Go At The Steering Wheel						Ambient	13114083	366			5		2009	2/11/19, 5:32 PM	4/16/09, 12:03 AM	256	44100		AAC audio file		Lbl:Ant-Zen C:act229	5	4/25/19, 7:30 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/L'Ombre/Letting Go At The Steering Wheel/05 Your Refusal.m4a
Dory	Christian Kleine		Electronic Music From The Lost World: 1998-2001							10578656	332			5		2018	4/25/19, 7:29 PM	1/29/18, 3:27 PM	253	44100		MPEG audio file		Visit http://astrangelyisolatedplace.bandcamp.com	5	3/7/19, 11:07 AM	2	4/25/19, 7:26 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Christian Kleine/Electronic Music From The Lost World_ 1998-2001/05 Dory.mp3
Arteries	Tangents	Tangents	New Bodies						Electronic	10070022	288	1	1	3	7	2018	4/25/19, 7:29 PM	6/15/18, 12:17 AM	256	44100		Apple Music AAC audio file			5	4/25/19, 7:27 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tangents/New Bodies/03 Arteries.m4p
Sæglópur	Sigur Rós		Takk...						Alternative	17866124	458	1	1	6	11	2005	4/25/19, 7:29 PM	1/23/19, 10:36 PM	256	44100		Apple Music AAC audio file			1	2/12/19, 7:46 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Sigur Rós/Takk.._/06 Sæglópur.m4p
Every Country's Sun	Mogwai	Mogwai	Every Country's Sun						Alternative	12213238	337	1	1	11	11	2017	4/25/19, 7:29 PM	8/29/17, 6:17 PM	256	44100		Apple Music AAC audio file			4	4/25/19, 7:27 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Mogwai/Every Country's Sun/11 Every Country's Sun.m4p
