Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Good to Sea	Pinback		Autumn of the Seraphs						Alternative	6886039	191	1	1	3	12	2007	11/11/21, 10:58 AM	11/11/21, 2:53 PM	256	44100		Apple Music AAC audio file			1	11/11/21, 10:55 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Pinback/Autumn of the Seraphs/03 Good to Sea.m4p
Way We Won't	Grandaddy	Jason Lytle	Last Place						Alternative	9599006	261	1	1	1	12	2016	11/11/21, 10:58 AM	9/20/20, 7:01 AM	256	44100		Apple Music AAC audio file			7	11/11/21, 10:56 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Grandaddy/Last Place/01 Way We Won't.m4p
Why You'd Want to Live Here	Death Cab for Cutie	Benjamin Gibbard	The Photo Album (Deluxe Edition)						Alternative	10940416	284	1	4	5	10	2021	11/11/21, 10:58 AM	10/28/21, 8:15 PM	256	44100		Apple Music AAC audio file			2	11/11/21, 10:56 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Death Cab for Cutie/The Photo Album (Deluxe Edition)/1-05 Why You'd Want to Live Here.m4p
Orange Crush (Remastered)	R.E.M.	William Berry, Peter Buck, Michael Mills & Michael Stipe	Green (25th Anniversary Deluxe Edition)						Rock	9146560	234	1	2	7	11	1988	11/11/21, 10:58 AM	11/11/21, 10:52 AM	256	44100		Apple Music AAC audio file			1	11/11/21, 10:56 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/R.E.M_/Green (25th Anniversary Deluxe Edition)/1-07 Orange Crush (Remastered).m4p
Father To a Sister of Thought	Pavement	Stephen Malkmus & The Jicks	Wowee Zowee (Sordid Sentinels Edition)						Alternative	8206063	210	1	2	8	29	1995	11/11/21, 10:58 AM	11/11/21, 2:53 PM	256	44100		Apple Music AAC audio file			1	11/11/21, 10:56 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Pavement/Wowee Zowee (Sordid Sentinels Edition)/1-08 Father To a Sister of Thought.m4p
Short Skirt/Long Jacket	Cake	John McCrea	Comfort Eagle						Rock	7308367	204	1	1	4	11	2001	11/11/21, 10:58 AM	11/1/21, 1:07 PM	256	44100		Apple Music AAC audio file			1	11/11/21, 10:57 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Cake/Comfort Eagle/04 Short Skirt_Long Jacket.m4p
Car	Built to Spill		There's Nothing Wrong With Love						Alternative	6391796	179	1	1	4	13	1994	11/11/21, 10:58 AM	4/26/21, 11:48 AM	256	44100		Apple Music AAC audio file			20	11/11/21, 10:57 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Built to Spill/There's Nothing Wrong With Love/04 Car.m4p
Handshake Drugs	Wilco	Jeff Tweedy	A Ghost Is Born						Rock	12536380	367	1	1	6	12	2004	11/11/21, 10:58 AM	9/19/20, 5:37 PM	256	44100		Apple Music AAC audio file			14	11/11/21, 10:57 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Wilco/A Ghost Is Born/06 Handshake Drugs.m4p
The Perfect Crime #2	The Decemberists	Colin Meloy	The Crane Wife (10th Anniversary Edition)						Rock	12394701	330	1	2	5	15	2006	11/11/21, 10:58 AM	11/11/21, 10:44 AM	256	44100		Apple Music AAC audio file			1	11/11/21, 10:57 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/The Decemberists/The Crane Wife (10th Anniversary Edition)/1-05 The Perfect Crime #2.m4p
Mearcstapa	Fleet Foxes	Robin Pecknold	Crack-Up						Alternative	9239558	249	1	1	7	11	2017	11/11/21, 10:58 AM	9/20/20, 6:28 AM	256	44100		Apple Music AAC audio file			3	11/11/21, 10:58 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Fleet Foxes/Crack-Up/07 Mearcstapa.m4p
March Into the Sea	Modest Mouse	Isaac Brock, Eric Judy, Jeremiah Green, Johnny Marr, Tom Peloso & Joe Plummer	We Were Dead Before the Ship Even Sank						Alternative	7511168	210	1	1	1	14	2007	11/11/21, 10:58 AM	11/18/20, 3:03 PM	256	44100		Apple Music AAC audio file			3	11/11/21, 10:59 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Modest Mouse/We Were Dead Before the Ship Even Sank/01 March Into the Sea.m4p
Where I End and You Begin	Radiohead	Colin Greenwood, Ed O'Brien, Jonny Greenwood, Phil Selway & Thom Yorke	Hail to the Thief						Alternative	9352065	269	1	1	6	14	2003	11/11/21, 10:58 AM	9/20/20, 6:26 AM	256	44100		Apple Music AAC audio file			5	11/11/21, 10:59 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Radiohead/Hail to the Thief/06 Where I End and You Begin.m4p
Georgia Vs. Yo La Tengo	Yo La Tengo	Georgia Hubley & Ira Kaplan	Summer Sun						Alternative	8488140	239	1	1	8	13	2003	11/11/21, 10:58 AM	9/20/20, 6:28 AM	256	44100		Apple Music AAC audio file			3	4/11/21, 10:40 AM	2	11/11/21, 11:01 AM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Summer Sun/08 Georgia Vs. Yo La Tengo.m4p
Go Get It	Slowdive		Slowdive						Alternative	12711399	369	1	1	7	8	2017	10/15/20, 4:23 PM	9/19/20, 6:48 AM	256	44100		Apple Music AAC audio file			3	10/15/20, 5:12 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Slowdive/Slowdive/07 Go Get It.m4p
