Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Big Day Coming	Yo La Tengo	Ira Kaplan	Painful						Alternative	14469573	425	1	1	1	11	1993	11/12/20, 5:22 PM	9/20/20, 10:28 AM	256	44100		Apple Music AAC audio file					1	11/12/20, 3:33 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Painful/01 Big Day Coming.m4p
Mr. Tough	Yo La Tengo		I Am Not Afraid of You and I Will Beat Your Ass						Alternative	9080148	245	1	1	4	15	2006	11/12/20, 5:22 PM	11/3/20, 8:35 PM	256	44100		Apple Music AAC audio file			2	11/12/20, 3:41 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/I Am Not Afraid of You and I Will Beat Your Ass/04 Mr. Tough.m4p
Autumn Sweater	Yo La Tengo	Georgia Hubley, Ira Kaplan & James McNew	I Can Hear the Heart Beating As One						Alternative	12321790	318	1	1	8	16	1997	11/12/20, 5:22 PM	9/20/20, 10:04 AM	256	44100		Apple Music AAC audio file			4	11/12/20, 3:41 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/I Can Hear the Heart Beating As One/08 Autumn Sweater.m4p
Ohm	Yo La Tengo		Fade						Alternative	14372088	407	1	1	1	9	2013	11/12/20, 5:22 PM	9/20/20, 10:28 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Fade/01 Ohm.m4p
You Can Have It All	Yo La Tengo	Harry Wayne Casey	And Then Nothing Turned Itself Inside-Out						Alternative	10731938	276	1	1	7	13	2000	11/12/20, 5:22 PM	9/20/20, 10:28 AM	256	44100		Apple Music AAC audio file			3	11/12/20, 3:42 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/And Then Nothing Turned Itself Inside-Out/07 You Can Have It All.m4p
Deeper Into Movies	Yo La Tengo	Georgia Hubley, Ira Kaplan & James McNew	I Can Hear the Heart Beating As One						Alternative	12044453	323	1	1	5	16	1997	11/12/20, 5:22 PM	9/20/20, 10:04 AM	256	44100		Apple Music AAC audio file			4	11/12/20, 3:42 PM	2	11/12/20, 3:42 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/I Can Hear the Heart Beating As One/05 Deeper Into Movies.m4p
Decora	Yo La Tengo	James McNew, Ira Kaplan & Georgia Hubley	Electr-O-Pura						Alternative	8004594	206	1	1	1	14	1995	11/12/20, 5:22 PM	9/20/20, 9:28 AM	256	44100		Apple Music AAC audio file			3	11/12/20, 3:43 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Electr-O-Pura/01 Decora.m4p
Cherry Chapstick	Yo La Tengo	Georgia Hubley, Ira Kaplan & James McNew	And Then Nothing Turned Itself Inside-Out						Alternative	13278395	371	1	1	9	13	2000	11/12/20, 5:22 PM	9/20/20, 10:28 AM	256	44100		Apple Music AAC audio file			1	10/11/20, 7:39 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/And Then Nothing Turned Itself Inside-Out/09 Cherry Chapstick.m4p
From a Motel 6	Yo La Tengo	Georgia Hubley & Ira Kaplan	Painful						Alternative	9408934	249	1	1	2	11	1993	11/12/20, 5:22 PM	9/20/20, 9:28 AM	256	44100		Apple Music AAC audio file			2	11/6/20, 7:09 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Painful/02 From a Motel 6.m4p
Tired Hippo	Yo La Tengo	Georgia Hubley, Ira Kaplan & James McNew	And Then Nothing Turned Itself Inside-Out						Alternative	11336557	286	1	1	12	13	2000	11/12/20, 5:22 PM	9/20/20, 10:28 AM	256	44100		Apple Music AAC audio file			1	10/11/20, 6:53 PM	1	11/12/20, 3:43 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/And Then Nothing Turned Itself Inside-Out/12 Tired Hippo.m4p
False Ending	Yo La Tengo	James McNew, Ira Kaplan & Georgia Hubley	Electr-O-Pura						Alternative	2450365	56	1	1	5	14	1995	11/12/20, 5:22 PM	9/20/20, 9:28 AM	256	44100		Apple Music AAC audio file			1	11/1/20, 7:47 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Electr-O-Pura/05 False Ending.m4p
Little Honda	Yo La Tengo	Brian Wilson & Mike Love	I Can Hear the Heart Beating As One						Alternative	6853541	187	1	1	9	16	1997	11/12/20, 5:22 PM	9/20/20, 11:04 AM	256	44100		Apple Music AAC audio file			1	11/12/20, 3:41 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/I Can Hear the Heart Beating As One/09 Little Honda.m4p
Georgia Vs. Yo La Tengo	Yo La Tengo	Georgia Hubley & Ira Kaplan	Summer Sun						Alternative	8480191	239	1	1	8	13	2003	11/12/20, 5:22 PM	9/20/20, 9:28 AM	256	44100		Apple Music AAC audio file			1	11/1/20, 8:38 PM	1	11/12/20, 3:41 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Yo La Tengo/Summer Sun/08 Georgia Vs. Yo La Tengo.m4p
