Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Road Movies I. Relaxed Groove	John Novacek & Leila Josefowicz	John Adams	Road Movies		Road Movies, for violin & piano	1	3	Relaxed Groove	Classical	10205018	294	1	1	1	11	2004	1/14/19, 7:56 PM	6/30/17, 11:50 AM	256	44100		Apple Music AAC audio file			8	2/12/19, 9:07 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/John Adams/Road Movies/01 Road Movies I. Relaxed Groove.m4p
Black Shimmer	High Plains		Cinderland						Ambient	8557964	245	1	1	6	9	2017	1/14/19, 7:56 PM	3/10/17, 6:01 PM	256	44100		Apple Music AAC audio file			12	1/14/19, 8:08 PM	1	1/14/19, 3:39 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/High Plains/Cinderland/06 Black Shimmer.m4p
On Form	Benoît Pioulard	Thomas Meluch	Lignin Poise						Ambient	6767772	188	1	1	5	7	2018	1/14/19, 7:56 PM	12/28/18, 12:55 PM	256	44100		Apple Music AAC audio file			6	1/14/19, 8:12 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Benoît Pioulard/Lignin Poise/05 On Form.m4p
Laika's Journey	Max Richter	Max Richter	Memoryhouse						Classical	3455051	88	1	1	3	18	2002	1/14/19, 7:56 PM	10/17/18, 10:31 AM	256	44100		Apple Music AAC audio file			4	1/14/19, 8:13 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Max Richter/Memoryhouse/03 Laika's Journey.m4p
Light	Pulseprogramming		Pulseprogramming						Electronic	9817171	285	1	1	2	10	1999	1/14/19, 7:56 PM	8/28/17, 3:14 PM	256	44100		Apple Music AAC audio file			4	1/14/19, 8:18 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Pulseprogramming/Pulseprogramming/02 Light.m4p
Abandon Window	Jon Hopkins	Jon Hopkins	Immunity						Electronic	10067260	297	1	1	5	8	2013	1/14/19, 7:56 PM	12/31/18, 11:50 AM	256	44100		Apple Music AAC audio file			3	1/14/19, 8:23 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Jon Hopkins/Immunity/05 Abandon Window.m4p
Whose Ghost	Botany		Deepak Verbera						Electronic	10195475	265	1	1	1	10	2016	1/14/19, 7:56 PM	10/31/16, 1:16 PM	256	44100		Apple Music AAC audio file			9	1/14/19, 8:27 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Botany/Deepak Verbera/01 Whose Ghost.m4p
The Hooks	Thom Yorke	Thom Yorke	Suspiria (Music for the Luca Guadagnino Film)						Soundtrack	6882384	198	1	2	2	14	2018	1/14/19, 7:56 PM	10/26/18, 1:53 AM	256	44100		Apple Music AAC audio file			3	1/14/19, 8:30 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Thom Yorke/Suspiria (Music for the Luca Guadagnino Film)/1-02 The Hooks.m4p
Skullflower	The Sound of Animals Fighting		Lover, the Lord Has Left Us...						Alternative	8594293	255	1	1	3	14	2006	1/14/19, 7:56 PM	12/14/06, 10:01 PM	256	44100		Matched AAC audio file			5	1/14/19, 8:35 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/The Sound of Animals Fighting/Lover, the Lord Has Left Us.._/03 Skullflower.m4a
Boneville Ocident	Squarepusher	Tom Jenkinson	Go Plastic						Electronic	10855770	290	1	1	2	10	2001	1/14/19, 7:56 PM	7/6/14, 7:18 PM	256	44100		Apple Music AAC audio file			11	1/14/19, 8:40 PM	1	8/20/14, 5:27 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Squarepusher/Go Plastic/02 Boneville Ocident.m4p
