Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The Heart That Fed	Caspian		Hymn for the Greatest Generation						Alternative	13772442	386	1	1	2	6	2013	1/28/19, 6:47 PM	1/28/19, 6:47 PM	256	44100		Apple Music AAC audio file			7	1/28/19, 8:06 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Caspian/Hymn for the Greatest Generation/02 The Heart That Fed.m4p
Auto Rock	Mogwai		Mr. Beast							9209464	260			1		2006	1/28/19, 6:47 PM	7/6/14, 7:18 PM	256	44100		Apple Music AAC audio file			7	2/1/19, 4:12 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Mogwai/Mr. Beast/01 Auto Rock.m4p
Glósóli (Live)	Sigur Rós	Birgisson, Gunnarsson, Holm & Sveinsson	Inni (Live)						Alternative	14403140	412	1	2	2	9	2011	1/28/19, 6:47 PM	1/28/19, 6:47 PM	256	44100		Apple Music AAC audio file			2	1/28/19, 8:17 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Sigur Rós/Inni (Live)/1-02 Glósóli (Live).m4p
The Only Moment We Were Alone	Explosions In the Sky		The Earth Is Not a Cold Dead Place						Alternative	21314589	614	1	1	2	5	2004	1/28/19, 6:47 PM	9/18/11, 12:28 AM	256	44100		Purchased AAC audio file			32	1/28/19, 8:27 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Explosions In the Sky/The Earth Is Not a Cold Dead Place/02 The Only Moment We Were Alone.m4a
After You Comes the Flood	MONO	MONO	Nowhere Now Here						Prog-Rock/Art Rock	12191377	336	1	1	2	10	2019	1/28/19, 6:47 PM	1/17/19, 11:35 AM	256	44100		Apple Music AAC audio file			4	1/28/19, 8:33 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/MONO/Nowhere Now Here/02 After You Comes the Flood.m4p
Hi Scores - 2014	Boards of Canada	Michael Sandison & Marcus Eoin	Hi Scores 2014 Edition - EP						Electronic	11500020	297	1	1	1	6	1996	2/17/19, 10:40 AM	7/5/15, 3:42 PM	256	44100		Apple Music AAC audio file			10	1/28/19, 8:38 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Boards of Canada/Hi Scores 2014 Edition - EP/01 Hi Scores - 2014.m4p
Flaphead	Aphex Twin	Aphex Twin & RR	Classics						Electronic	14599619	420	1	1	2	13	1993	2/18/19, 10:45 AM	11/2/15, 8:35 PM	256	44100		Apple Music AAC audio file			13	1/28/19, 8:45 PM	1	1/28/19, 6:48 PM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Aphex Twin/Classics/02 Flaphead.m4p
Nth Dafuseder.b	Autechre		Move of Ten						Electronic	12170548	317	1	1	5	10	2010	1/28/19, 6:47 PM	9/18/11, 12:24 AM	256	44100		Purchased AAC audio file			9	1/28/19, 8:50 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Autechre/Move of Ten/05 Nth Dafuseder.b.m4a
Palimpsest (Pt. I)	Tim Hecker		Harmony In Ultraviolet						Electronic	1782489	35	1	1	3	15	2006	1/28/19, 6:47 PM	4/17/18, 7:44 PM	256	44100		Apple Music AAC audio file			4	1/28/19, 8:51 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tim Hecker/Harmony In Ultraviolet/03 Palimpsest (Pt. I).m4p
Chimeras	Tim Hecker		Harmony In Ultraviolet						Electronic	7610169	193	1	1	4	15	2006	1/28/19, 6:47 PM	4/17/18, 7:44 PM	256	44100		Apple Music AAC audio file			5	1/28/19, 8:54 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tim Hecker/Harmony In Ultraviolet/04 Chimeras.m4p
Dungeoneering	Tim Hecker		Harmony In Ultraviolet						Electronic	12154896	324	1	1	5	15	2006	1/28/19, 6:47 PM	4/17/18, 7:44 PM	256	44100		Apple Music AAC audio file			2	1/28/19, 9:00 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tim Hecker/Harmony In Ultraviolet/05 Dungeoneering.m4p
