Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Daydreaming	Radiohead		A Moon Shaped Pool						Alternative	14413961	384	1	1	2	11	2016	10/15/20, 7:23 PM	9/20/20, 10:25 AM	256	44100		Apple Music AAC audio file			2	10/15/20, 11:21 AM	1	10/15/20, 11:03 AM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Radiohead/A Moon Shaped Pool/02 Daydreaming.m4p
Go Get It	Slowdive		Slowdive						Alternative	12711399	369	1	1	7	8	2017	10/15/20, 7:23 PM	9/19/20, 9:48 AM	256	44100		Apple Music AAC audio file			2	10/15/20, 11:35 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Slowdive/Slowdive/07 Go Get It.m4p
Blood Bank	Bon Iver		Blood Bank EP (10th Anniversary Edition)						Alternative	9792345	284	1	1	1	8	2009	10/15/20, 7:23 PM	9/23/20, 7:44 AM	256	44100		Apple Music AAC audio file			2	10/15/20, 11:35 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Compilations/Blood Bank EP (10th Anniversary Edition)/01 Blood Bank.m4p
Black Car	Beach House		7						Alternative	8838645	251	1	1	7	11	2018	10/15/20, 7:23 PM	9/20/20, 10:25 AM	256	44100		Apple Music AAC audio file			1	10/15/20, 11:37 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Beach House/7/07 Black Car.m4p
Rhinoceros (Remastered 2011)	Smashing Pumpkins	Billy Corgan	Gish (Deluxe Edition)						Hard Rock	14113892	390	1	2	3	10	1991	10/15/20, 7:23 PM	9/20/20, 10:25 AM	256	44100		Apple Music AAC audio file			2	10/15/20, 11:32 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Smashing Pumpkins/Gish (Deluxe Edition)/1-03 Rhinoceros (Remastered 2011).m4p
From Nothing	Wild Ones		Keep It Safe						Pop	7376735	202	1	1	8	13	2014	10/15/20, 7:23 PM	9/20/20, 10:27 AM	256	44100		Apple Music AAC audio file			1	10/15/20, 11:32 AM	1	10/15/20, 11:32 AM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Wild Ones/Keep It Safe/08 From Nothing.m4p
I Turn My Camera On	Spoon		Gimme Fiction (Deluxe Edition)						Alternative	8006414	212	1	2	3	11	2005	10/15/20, 7:23 PM	9/23/20, 7:44 AM	256	44100		Apple Music AAC audio file			1	10/15/20, 11:32 AM	1	10/15/20, 11:31 AM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Spoon/Gimme Fiction (Deluxe Edition)/1-03 I Turn My Camera On.m4p
Talking Backwards	Real Estate	Martin Courtney	Atlas						Alternative	7101405	187	1	1	3	10	2014	10/15/20, 7:23 PM	9/18/20, 8:32 PM	256	44100		Apple Music AAC audio file			3	10/15/20, 11:32 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Real Estate/Atlas/03 Talking Backwards.m4p
Fade into You	Mazzy Star	Hope Sandoval & David Roback	So Tonight That I Might See						Pop	10113611	295	1	1	1	10	1993	10/15/20, 7:23 PM	9/23/20, 7:44 AM	256	44100		Apple Music AAC audio file			1	10/15/20, 11:33 AM	1	10/15/20, 10:53 AM		Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Mazzy Star/So Tonight That I Might See/01 Fade into You.m4p
Electrolytes	Tristeza	Jimmy Lehner & Jimmy LaValle	Spine And Sensory (Expanded And Remastered)						Rock	7487467	185	1	1	7	13	2004	10/15/20, 7:23 PM	9/19/20, 10:59 AM	256	44100		Apple Music AAC audio file			2	10/15/20, 11:34 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Tristeza/Spine And Sensory (Expanded And Remastered)/07 Electrolytes.m4p
Wet the Day (Live)	The Album Leaf	Jimmy LaValle	Seal Beach						Ambient	9575931	272	1	1	7	10	2017	10/15/20, 7:23 PM	9/20/20, 11:01 AM	256	44100		Apple Music AAC audio file			1	10/15/20, 11:34 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/The Album Leaf/Seal Beach/07 Wet the Day (Live).m4p
First Class	Khruangbin	Khruangbin	Mordechai						Alternative	10080862	286	1	1	1	10	2020	10/15/20, 7:23 PM	9/20/20, 10:25 AM	256	44100		Apple Music AAC audio file			3	10/15/20, 11:36 AM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Khruangbin/Mordechai/01 First Class.m4p
Mykonos	Fleet Foxes		Sun Giant - EP						Alternative	10817459	275	1	1	4	5	2008	10/15/20, 7:23 PM	2/6/12, 2:18 PM	256	44100		Purchased AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Fleet Foxes/Sun Giant - EP/04 Mykonos.m4a
