Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Roses and Teeth for Ludwig Wittgenstein	Matmos		The Rose Has Teeth In the Mouth of a Beast						Electronic	8010581	204	1	1	1	11	2006	10/16/18, 12:00 PM	5/13/06, 2:36 AM	256	44100		AAC audio file			11	12/8/18, 1:59 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Matmos/The Rose Has Teeth In the Mouth of a Beast/01 Roses and Teeth for Ludwig Wittgenstein.m4a
Teen Paranormal Romance	Matmos		The Marriage of True Minds (Bonus Track Version)						Alternative	10259646	286	1	1	5	11	2013	1/7/21, 1:36 PM	2/20/13, 1:22 AM	256	44100		Purchased AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Matmos/The Marriage of True Minds (Bonus Track Version)/05 Teen Paranormal Romance.m4a
This Is...	Matmos	Drew Daniel & Martin Schmidt	Matmos						Electronic	13275508	383	1	1	5	11	2000	1/7/21, 1:36 PM	9/20/20, 10:00 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Matmos/Matmos/05 This Is....m4p
Very Large Green Triangles	Matmos		The Marriage of True Minds (Bonus Track Version)						Alternative	10341995	282	1	1	2	11	2013	1/7/21, 1:36 PM	2/20/13, 1:22 AM	256	44100		Purchased AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Matmos/The Marriage of True Minds (Bonus Track Version)/02 Very Large Green Triangles.m4a
Plastic Anniversary	Matmos		Plastic Anniversary						IDM/Experimental	9472746	246	1	1	6	11	2019	1/7/21, 1:36 PM	9/20/20, 11:00 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Matmos/Plastic Anniversary/06 Plastic Anniversary.m4p
Polychords	Matmos	Martin Schmidt & Drew Daniel	Supreme Balloon (Bonus Track Version)						Electronic	7742698	211	1	1	2	11	2008	1/7/21, 1:36 PM	9/20/20, 11:00 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Matmos/Supreme Balloon (Bonus Track Version)/02 Polychords.m4p
L.A.S.I.K.	Matmos		A Chance to Cut Is a Chance to Cure						Electronic	8476461	237	1	1	2	7	2001	1/7/21, 1:36 PM	9/20/20, 11:00 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Matmos/A Chance to Cut Is a Chance to Cure/02 L.A.S.I.K..m4p
Reconstruction	Matmos		The Civil War						Electronic	19387218	571	1	1	3	9	2003	1/7/21, 1:36 PM	9/20/20, 11:00 AM	256	44100		Apple Music AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Matmos/The Civil War/03 Reconstruction.m4p
You	Matmos		The Marriage of True Minds (Bonus Track Version)						Alternative	14400055	421	1	1	1	11	2013	1/7/21, 1:36 PM	2/20/13, 1:22 AM	256	44100		Purchased AAC audio file								Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Music/Matmos/The Marriage of True Minds (Bonus Track Version)/01 You.m4a
It Seems	Matmos	Drew Daniel & Martin Schmidt	Matmos						Electronic	11057859	312	1	1	1	11	2000	1/7/21, 1:36 PM	9/20/20, 10:00 AM	256	44100		Apple Music AAC audio file			1	12/29/20, 3:47 PM				Macintosh HD/Users/aschuman/Music/iTunes/iTunes Media/Apple Music/Matmos/Matmos/01 It Seems.m4p
Spondee	Matmos		A Chance to Cut Is a Chance to Cure						Electronic	13117040	375	1	1	3	7	2001	9/20/20, 11:00 AM	9/20/20, 11:00 AM	256	44100		Apple Music AAC audio file							
